Trade_ID,Trade_Date,Customer_ID,Counterparty_ID,Product_Type,Trade_Amount,Currency,Trade_Status
TRD_00001,2026-02-13,CUST_0532,CPTY_109,Equity,1539322.64,SGD,Pending
TRD_00002,2026-05-27,CUST_0745,CPTY_144,Commodity Options,1796719.54,CAD,Settled
TRD_00003,2026-05-14,CUST_0065,CPTY_136,FX Spot,442281.54,JPY,Cancelled
TRD_00004,2026-03-13,CUST_0337,CPTY_150,Crypto ETF,677531.41,HKD,Settled
TRD_00005,2026-06-29,CUST_0691,CPTY_118,Crypto ETF,1043279.48,JPY,Settled
TRD_00006,2026-01-27,CUST_0653,CPTY_104,FX Spot,801059.66,HKD,Cancelled
TRD_00007,2026-03-08,CUST_0486,CPTY_137,Fixed Income,1500388.69,CAD,Settled
TRD_00008,2026-02-05,CUST_0444,CPTY_135,Equity,535869.09,GBP,Cancelled
TRD_00009,2026-01-05,CUST_0001,CPTY_120,Crypto ETF,870526.96,EUR,Cancelled
TRD_00010,2026-01-20,CUST_0726,CPTY_135,Crypto ETF,1828499.95,USD,Settled
TRD_00011,2026-05-19,CUST_0644,CPTY_120,Fixed Income,239323.12,USD,Pending
TRD_00012,2026-01-10,CUST_0660,CPTY_146,Crypto ETF,1546248.81,JPY,Cancelled
TRD_00013,2026-01-19,CUST_0002,CPTY_137,Crypto ETF,687499.66,SGD,Cancelled
TRD_00014,2026-06-22,CUST_0224,CPTY_139,Commodity Options,331583.45,EUR,Settled
TRD_00015,2026-04-17,CUST_0113,CPTY_108,Crypto ETF,2189258.47,SGD,Settled
TRD_00016,2026-02-10,CUST_0784,CPTY_112,Equity,1948893.9,HKD,Settled
TRD_00017,2026-06-16,CUST_0571,CPTY_127,Fixed Income,2090794.71,HKD,Pending
TRD_00018,2026-03-19,CUST_0871,CPTY_142,FX Spot,1304552.39,EUR,Settled
TRD_00019,2026-06-30,CUST_0551,CPTY_128,Fixed Income,853627.16,HKD,Cancelled
TRD_00020,2026-02-06,CUST_0583,CPTY_111,Fixed Income,2141169.34,JPY,Pending
TRD_00021,2026-06-26,CUST_0452,CPTY_112,Commodity Options,2181027.62,CAD,Settled
TRD_00022,2026-02-27,CUST_0098,CPTY_110,Equity,556004.53,EUR,Settled
TRD_00023,2026-01-04,CUST_0504,CPTY_134,Crypto ETF,2473137.23,USD,Settled
TRD_00024,2026-03-16,CUST_0494,CPTY_141,Fixed Income,1474963.43,CAD,Settled
TRD_00025,2026-01-18,CUST_0798,CPTY_148,Fixed Income,473829.14,JPY,Settled
TRD_00026,2026-03-10,CUST_0574,CPTY_148,FX Spot,1199400.9,GBP,Cancelled
TRD_00027,2026-03-26,CUST_0197,CPTY_138,Crypto ETF,103906.95,HKD,Cancelled
TRD_00028,2026-02-17,CUST_0142,CPTY_138,Fixed Income,231598.77,HKD,Settled
TRD_00029,2026-02-03,CUST_0763,CPTY_149,Equity,1822405.32,HKD,Settled
TRD_00030,2026-02-03,CUST_0054,CPTY_125,Fixed Income,253886.38,SGD,Settled
TRD_00031,2026-06-19,CUST_0545,CPTY_138,Crypto ETF,1231865.65,JPY,Cancelled
TRD_00032,2026-02-03,CUST_0283,CPTY_129,Commodity Options,244986.29,GBP,Settled
TRD_00033,2026-06-04,CUST_0826,CPTY_137,Commodity Options,2310822.55,HKD,Cancelled
TRD_00034,2026-06-05,CUST_0781,CPTY_105,FX Spot,1272557.75,GBP,Pending
TRD_00035,2026-04-29,CUST_0551,CPTY_101,Equity,212754.23,USD,Pending
TRD_00036,2026-01-20,CUST_0147,CPTY_127,Commodity Options,1378569.39,EUR,Cancelled
TRD_00037,2026-01-12,CUST_0082,CPTY_122,Equity,1758632.2,SGD,Pending
TRD_00038,2026-02-16,CUST_0430,CPTY_142,Crypto ETF,1509947.32,CAD,Settled
TRD_00039,2026-03-03,CUST_0858,CPTY_113,FX Spot,1463338.71,EUR,Pending
TRD_00040,2026-05-02,CUST_0186,CPTY_141,FX Spot,-150.0,SGD,Settled
TRD_00041,2026-06-06,CUST_0242,CPTY_130,Fixed Income,2047901.98,USD,Cancelled
TRD_00042,2026-01-09,CUST_0945,CPTY_112,FX Spot,1942953.03,HKD,Settled
TRD_00043,2026-05-15,CUST_0689,CPTY_146,Equity,1462138.37,USD,Settled
TRD_00044,2026-02-18,CUST_0182,CPTY_111,Equity,168483.44,GBP,Settled
TRD_00045,2026-03-19,CUST_0580,CPTY_149,FX Spot,2069511.73,GBP,Cancelled
TRD_00046,2026-02-03,CUST_0766,CPTY_114,Commodity Options,904758.07,GBP,Pending
TRD_00047,2026-04-19,CUST_0137,CPTY_145,Fixed Income,1302898.95,SGD,Settled
TRD_00048,2026-05-31,CUST_0270,CPTY_145,Crypto ETF,928264.02,HKD,Cancelled
TRD_00049,2026-06-07,CUST_0043,CPTY_150,Fixed Income,2170688.15,SGD,Cancelled
TRD_00050,2026-03-15,CUST_0137,CPTY_144,Fixed Income,571426.43,EUR,Settled
TRD_00051,2026-01-18,CUST_0813,CPTY_118,Equity,1767131.69,CAD,Cancelled
TRD_00052,2026-01-25,CUST_0745,CPTY_133,Equity,850389.46,SGD,Settled
TRD_00053,2026-01-25,CUST_0908,CPTY_112,Commodity Options,2408883.92,HKD,Settled
TRD_00054,2026-02-07,CUST_0158,CPTY_132,FX Spot,868962.44,SGD,Settled
TRD_00055,2026-04-07,CUST_0327,CPTY_148,Equity,1046623.23,CAD,Cancelled
TRD_00056,2026-03-10,CUST_0710,CPTY_143,FX Spot,1646979.95,CAD,Cancelled
TRD_00057,2026-03-03,CUST_0945,CPTY_150,FX Spot,989692.26,SGD,Settled
TRD_00058,2026-05-03,CUST_0367,CPTY_106,Fixed Income,289675.3,JPY,Settled
TRD_00059,2026-03-15,CUST_0032,CPTY_109,FX Spot,668033.7,CAD,Pending
TRD_00060,2026-02-19,CUST_0771,CPTY_150,Commodity Options,835301.44,ZWD,Cancelled
